prot1,prot2,str_score,protpep_score,str_max_score,red_score,ort_score,phy_score,coexp_score,go_score,total_score,final_score,Match,Match2
O00499,O00499,1904.79,14.0753,1904.79,2.4090000000000003,9.7902,2.416,0.0,0.0,108536.0,502048000.0,True,True
O15438,O15440,299.41900000000004,0.0,299.41900000000004,1.3730000000000002,0.6153,2.416,2.7714,2.07,3505.94,3505.94,True,True
O14771,O43296,99.2027,0.0,99.2027,0.0,5.2693,2.416,1.1757,0.0,1484.81,1484.81,True,True
O43390,O75400,2.7953,14.0753,14.0753,0.0,5.2693,2.416,45.2798,5.86,47545.5,45540000.0,True,True
O15511,O43182,2.6731,5.4591199999999995,5.4591199999999995,0.0,0.0,2.416,2.1077,24.11,670.2330000000001,670.2330000000001,True,True
O00257,O14646,45.9762,3.84,45.9762,2.0764,0.0,2.416,2.1077,10.8,5250.17,5250.17,True,True
O14974,O00506,99.2027,9.966000000000001,99.2027,1.7092,0.6153,2.416,3.9008,0.89,875.072,875.072,True,True
O00499,O14662,22.5541,3.52956,22.5541,2.4090000000000003,0.0,2.013,2.7714,2.07,627.445,627.445,True,True
O15182,A8K855,119.281,3.66,119.281,0.0,0.0,1.5978,45.2798,0.0,8629.73,8629.73,True,True
A6NM03,O43749,45.9762,0.0,45.9762,0.7707,5.2693,0.0,5.6875,5.86,6222.87,6222.87,True,True
O00170,O43615,1.6503,2.60197,2.60197,0.5125,0.0,2.416,18.4426,69.61,4136.06,4136.06,True,True
O15031,O15205,33.1143,3.51,33.1143,19.2898,0.0,1.5978,1.1757,0.0,1199.95,1199.95,True,True
O15294,O60296,0.0,6.7087,6.7087,0.0,3.1392,2.013,5.6875,105.17,25358.0,117297000.0,True,True
O00160,O00160,34.0309,0.0,34.0309,0.7707,81.5138,2.416,0.0,0.0,5165.2,5165.2,True,True
O00591,O75311,1904.79,3.51,1904.79,1.1877,0.6153,2.416,2.1077,2.07,14672.9,14672.9,True,True
A5A3E0,O14593,997.34,0.0,997.34,0.0,0.6153,2.013,1.5818,0.0,1954.0,1954.0,True,True
O00175,O14492,18.4132,5.43,18.4132,3.7695,0.0,2.013,2.1077,5.86,1725.69,1725.69,True,True
O00468,O00555,4.5731,2.60197,4.5731,2.0764,0.0,2.416,5.6875,181.01,23618.0,109248000.0,True,True
O15145,O14980,0.9682,0.0,0.9682,0.0,0.0,2.013,9.4687,0.0,18.4544,17676.0,True,True
O00409,O00409,130.17,0.0,130.17,1.5513,0.6153,0.0,0.0,0.0,124.249,12740.0,True,True
O15085,O75553,61.2858,9.966000000000001,61.2858,1.7951,0.0,2.416,2.7714,5.86,4316.6,4316.6,True,True
B1AJZ9,O15198,84.9724,0.0,84.9724,2.4090000000000003,0.0,2.013,1.5818,0.0,651.794,651.794,True,True
O15078,O60763,0.0,5.43,5.43,0.0,0.6153,2.416,5.6875,0.0,45.9098,212362.0,True,True
O43364,O60393,130.17,10.1814,130.17,1.774,0.0,2.416,1.5818,5.86,5171.43,5171.43,True,True
O14646,O75367,4.3388,3.84,4.3388,0.7707,5.2693,2.416,2.7714,10.8,1274.17,1274.17,True,True
O14602,O60841,0.0,0.0,0.81,0.0,15.4815,1.5978,5.6875,24.11,2747.51,281719.0,True,True
O00468,O60861,4.5731,14.3222,14.3222,0.7707,0.0,2.416,2.1077,10.8,607.05,607.05,True,True
A5A3E0,O00506,119.281,9.966000000000001,119.281,4.2492,0.6153,2.013,1.5818,0.0,993.0239999999999,993.0239999999999,True,True
O14983,O14793,10.2451,2.60197,10.2451,0.0,0.0,2.416,3.9008,24.11,2327.9,2327.9,True,True
O14964,O15350,6.0007,5.24327,6.0007,3.8142,0.0,2.416,2.7714,5.86,898.047,898.047,True,True
O14641,O60907,6.9797,5.4591199999999995,6.9797,0.0,3.1392,2.013,2.1077,10.8,1004.0,1004.0,True,True
A6NI28,O15357,169.09799999999998,0.0,169.09799999999998,2.3254,0.0,2.416,1.1757,0.0,1116.94,1116.94,True,True
O00560,O00560,997.34,3.52956,997.34,0.0,9.2808,2.416,0.0,0.0,22362.8,103442000.0,True,True
O00505,O15397,4.5731,3.52956,4.5731,0.0,0.0,2.416,9.4687,5.86,613.05,587192.0,True,True
O14983,O00631,0.0,0.0,0.81,0.0,0.0,1.1933,9.4687,10.8,98.8437,457215.0,True,True
O15116,O15160,1.8315,0.0,1.8315,1.0145,9.2808,2.013,18.4426,0.0,640.192,640.192,True,True
O14613,O60861,0.0,21.035,21.035,0.0,0.0,2.416,2.1077,24.11,2582.53,2582.53,True,True
A8MTI9,O60347,1.2142,9.966000000000001,9.966000000000001,0.0,0.6153,0.0,1.5818,69.61,675.198,675.198,True,True
O00311,O00444,25.2364,6.024830000000001,25.2364,0.9127,0.0,2.416,38.174,10.8,22942.7,22942.7,True,True
O43186,O14529,130.17,0.0,130.17,1.3730000000000002,0.0,2.416,2.7714,0.89,1065.04,1065.04,True,True
O43248,A8MTQ0,130.17,0.0,130.17,2.3768,0.0,2.013,0.4364,10.8,2935.32,2935.32,True,True
O14974,O00743,517.6759999999999,9.770719999999999,517.6759999999999,0.0,0.6153,1.5978,9.4687,10.8,52045.3,52045.3,True,True
O15230,O14788,8.0633,57.2019,57.2019,0.0,0.0,2.416,2.1077,10.8,3145.86,3145.86,True,True
O00206,O14763,4.5731,0.0,4.5731,1.2535,0.0,2.013,2.7714,24.11,771.0369999999999,771.0369999999999,True,True
O14757,O00506,99.2027,7.40526,99.2027,3.8142,0.6153,2.013,1.5818,2.07,1534.54,1534.54,True,True
O00444,O15067,7.5360000000000005,0.0,7.5360000000000005,21.3884,0.6153,2.013,9.4687,0.0,1890.34,1890.34,True,True
O15294,O15294,997.34,0.0,997.34,1.3730000000000002,0.6153,2.416,0.0,0.0,2035.62,3668290.0,True,True
B1AK53,O60890,99.2027,10.3763,99.2027,0.0,0.6153,2.416,1.5818,5.86,1366.96,1366.96,True,True
O43181,O75380,1.8315,0.0,1.8315,0.9127,0.0,2.013,18.4426,69.61,4319.89,4137680.0,True,True
O14561,O00399,25.2364,0.0,25.2364,0.7707,0.0,2.013,18.4426,0.0,722.069,722.069,True,True
O14964,O15042,25.2364,7.37,25.2364,3.8142,0.0,2.416,3.9008,0.0,907.155,907.155,True,True
O15519,O00220,8.14,12.1994,12.1994,1.7092,5.2693,2.013,2.7714,24.11,14778.3,68359100.0,True,True
O00462,O60502,2.0531,2.59,2.59,0.0,0.0,2.013,3.9008,105.17,2138.89,2138.89,True,True
A6NLW8,O00506,99.2027,5.22,99.2027,4.0064,0.0,2.013,0.8888,0.0,711.092,711.092,True,True
O15169,O60393,2.0697,0.0,2.0697,2.3254,0.0,2.416,1.5818,69.61,1280.34,1280.34,True,True
O14672,O43426,2.6756,2.60197,2.6756,0.9127,0.0,2.416,9.4687,24.11,1346.9,1346.9,True,True
A4FU49,O00401,5.4412,84.9753,84.9753,2.3588,0.0,2.416,1.5818,0.0,766.0060000000001,766.0060000000001,True,True
O43172,O43791,4.5731,20.9024,20.9024,1.2535,0.6153,2.013,9.4687,5.86,1800.69,1800.69,True,True
A6NMZ7,O60939,169.09799999999998,0.0,169.09799999999998,0.0,0.0,2.416,2.1077,0.0,861.08,861.08,True,True
O14656,O14656,25.2364,0.0,25.2364,0.0,0.6153,0.0,0.0,0.0,15.527999999999999,14873.0,True,True
O15379,O15357,3.1219,23.2116,23.2116,3.8142,0.0,1.5978,3.9008,10.8,5959.48,5959.48,True,True
A6NP11,A6NP11,130.17,0.0,130.17,0.0,5.5574,2.416,0.0,0.0,1747.75,1747.75,True,True
A6NGY5,A6NM76,1652.32,0.0,1652.32,1.3730000000000002,0.6153,2.416,0.4364,0.0,1471.75,1471.75,True,True
O43148,O43791,1.9487,15.9043,15.9043,0.5125,0.0,2.416,5.6875,5.86,656.3330000000001,656.3330000000001,True,True
O43187,O00187,9.0305,5.24327,9.0305,1.5513,0.6153,2.416,2.1077,24.11,1058.27,1058.27,True,True
O15392,O00233,2.0697,12.327,12.327,1.7951,0.0,2.013,5.6875,5.86,1484.6,1484.6,True,True
O00560,O00635,2.2022,0.0,2.2022,0.0,0.0,2.013,3.9008,0.89,15.3902,71189.5,True,True
O43143,O60749,5.4412,0.0,5.4412,3.1239999999999997,0.0,1.5978,45.2798,0.0,1229.79,1229.79,True,True
O15520,O15520,468.913,0.0,468.913,1.5513,5.5574,0.0,0.0,0.0,4042.59,4042.59,True,True
O00522,O14593,119.281,0.0,119.281,0.5125,0.0,2.416,1.5818,5.86,1369.02,1369.02,True,True
O00148,O43615,1.02,3.52956,3.52956,0.0,0.0,2.013,45.2798,2.07,665.946,665.946,True,True
O00522,O00506,30.3442,0.0,30.3442,4.2492,0.0,2.416,2.7714,0.0,863.334,863.334,True,True
O15205,O15205,826.188,4.96,826.188,20.9141,0.6153,0.0,0.0,0.0,10631.8,10631.8,True,True
O00410,O43765,11.9953,3.52956,11.9953,0.0,0.0,2.013,9.4687,5.86,1339.81,1339.81,True,True
O00410,O00487,1.2142,0.0,1.2142,2.0764,9.7902,1.5978,45.2798,0.0,1785.75,1785.75,True,True
O43320,O14926,468.913,0.0,468.913,1.5513,0.0,2.013,2.1077,0.0,3086.32,3086.32,True,True
O15357,O00755,0.0,14.0867,14.0867,0.0,0.0,2.013,1.1757,24.11,803.798,803.798,True,True
A8MVX0,O15068,48.3918,3.66,48.3918,1.3730000000000002,0.0,2.416,0.4364,24.11,1688.97,1688.97,True,True
O15197,O14492,7.763,15.8041,15.8041,3.7695,0.6153,2.416,2.7714,5.86,1438.25,1438.25,True,True
O15117,O00221,25.2364,14.3222,25.2364,0.0,0.0,2.416,2.1077,10.8,1387.9,1387.9,True,True
A6NNA5,O00506,99.2027,5.22,99.2027,4.0064,0.0,2.416,0.6915,0.0,663.998,663.998,True,True
A6NMT0,A6NFQ7,130.17,0.0,130.17,2.3768,0.0,2.013,1.1757,0.0,732.2239999999999,732.2239999999999,True,True
O00408,O00408,6495.16,3.86531,6495.16,1.1877,5.052,2.416,0.0,0.0,94157.9,435541000.0,True,True
O00255,O14492,0.0,13.0318,13.0318,2.3254,0.0,2.013,2.7714,69.61,11768.4,11768.4,True,True
O43318,A6NI72,25.2364,22.0744,25.2364,2.3254,0.6153,2.416,0.0,10.8,942.177,942.177,True,True
O15488,O15488,997.34,0.0,997.34,0.5125,5.2693,1.5978,0.0,0.0,4303.41,4303.41,True,True
A6NGH8,O14593,1652.32,0.0,1652.32,0.5125,0.6153,2.013,1.1757,0.0,1233.15,1233.15,True,True
O15239,O43674,0.0,0.0,0.0,0.0,0.0,2.416,18.4426,69.61,3101.64,3101.64,True,True
O15524,O43294,5.4987,20.7293,20.7293,1.7092,0.0,2.013,2.1077,24.11,3624.33,3624.33,True,True
O14975,O14788,1.4802,3.52956,3.52956,0.0,0.0,2.416,1.1757,69.61,697.888,697.888,True,True
O00213,O75553,240.91,9.966000000000001,240.91,2.3588,0.0,2.416,2.7714,2.07,7876.13,7876.13,True,True
O00629,O15397,5.3229999999999995,4.98492,5.3229999999999995,0.0,0.0,2.416,9.4687,5.86,713.578,713.578,True,True
O14654,O14544,8.8185,23.2116,23.2116,2.4090000000000003,0.6153,2.416,0.8888,0.4,29.5522,136698.0,True,True
O15265,O00401,0.0,28.0774,28.0774,2.3254,0.0,2.416,9.4687,0.89,1329.33,1329.33,True,True
O00443,O60331,1.5595,13.7138,13.7138,0.0,0.6153,2.416,2.1077,105.17,4519.0,4519.0,True,True
O00161,O15498,0.0,0.0,0.0,1.0145,5.2693,2.013,9.4687,105.17,10716.0,10716.0,True,True
O15344,O15205,30.3442,0.0,30.3442,20.9141,0.0,1.5978,1.1757,10.8,12875.3,12875.3,True,True
O14939,O00194,6.0007,0.0,6.0007,1.0145,0.6153,2.416,1.5818,69.61,996.4630000000001,996.4630000000001,True,True
O14965,O14543,5.4987,20.6892,20.6892,3.1239999999999997,0.6153,2.013,1.1757,24.11,2269.23,2269.23,True,True
O43312,O00560,2.5395,5.24327,5.24327,1.0145,0.0,2.416,2.1077,24.11,653.066,653.066,True,True
O43240,E7EML9,253.71599999999998,0.0,253.71599999999998,2.3768,0.0,2.416,0.0,0.0,1456.93,1456.93,True,True
O00555,O43497,997.34,5.43,997.34,0.0,0.6153,2.013,9.4687,105.17,1230140.0,1230140.0,True,True
O14654,O14939,99.2027,0.0,99.2027,2.4090000000000003,0.0,2.416,1.5818,0.0,913.29,913.29,True,True
O14641,O43294,4.5731,3.51,4.5731,0.0,0.0,2.416,3.9008,24.11,1039.1,1039.1,True,True
O15084,O00522,299.41900000000004,3.52956,299.41900000000004,0.5125,0.0,2.416,9.4687,0.0,3510.44,3510.44,True,True
A6NH57,A6NH57,260.209,0.0,260.209,2.3768,0.0,0.0,0.0,0.0,618.464,618.464,True,True
O00505,O60684,119.281,14.0753,119.281,0.5125,0.6153,2.416,5.6875,181.01,93556.0,89609800.0,True,True
O15143,O15144,130.17,1.03634,130.17,0.0,606.3919999999999,2.013,45.2798,69.61,500823000.0,2320000000000.0,True,True
A8MT69,O15287,1.02,0.0,1.02,1.7951,0.0,0.0,9.4687,5.86,101.596,97310.7,True,True
O14647,O60907,7.7952,7.3468800000000005,7.7952,0.0,9.2808,2.416,5.6875,2.07,2057.79,2057.79,True,True
O15034,O15357,43.0172,161.514,161.514,2.4090000000000003,0.0,2.416,0.8888,0.0,835.503,835.503,True,True
O14775,O60907,130.17,0.0,130.17,0.0,0.6153,2.013,3.9008,0.0,628.92,628.92,True,True
A6NNZ2,A6NKZ8,157.751,0.0,157.751,0.0,0.6153,2.013,0.0,24.11,4710.85,4710.85,True,True
O00305,O00308,2.2022,5.24327,5.24327,1.0145,0.6153,2.416,2.1077,69.61,1160.16,1160.16,True,True
O15347,O60216,4.5731,2.60197,4.5731,4.2492,0.0,2.013,9.4687,10.8,4000.15,4000.15,True,True
O14640,O14492,4.5731,20.7326,20.7326,0.9127,0.0,2.416,5.6875,5.86,1523.69,1523.69,True,True
O15381,O14802,25.2364,0.0,25.2364,0.0,0.6153,2.013,45.2798,0.0,1415.35,1415.35,True,True
O14964,O43615,1.8315,5.24327,5.24327,4.2492,0.0,2.416,9.4687,5.86,2986.72,2986.72,True,True
O15067,O75123,25.2364,0.0,25.2364,21.3884,0.0,1.5978,1.5818,0.0,1364.21,1364.21,True,True
O00303,O43432,1.1641,3.86531,3.86531,0.0,0.6153,2.013,2.1077,24.11,243.28799999999998,233026.0,True,True
O15259,O00401,5.4412,84.9753,84.9753,2.3588,0.0,2.013,2.1077,5.86,4983.49,4983.49,True,True
B1AK53,O15273,3.1219,14.0753,14.0753,0.0,0.0,2.013,5.6875,10.8,1740.39,1740.39,True,True
O43353,O60858,1.9487,3.67486,3.67486,1.7092,0.0,2.416,3.9008,24.11,1427.19,1427.19,True,True
O00257,O75530,4.5731,2.24017,4.5731,1.7092,0.0,1.5978,1.5818,5.86,115.764,110881.0,True,True
O14613,O00444,0.0,6.257000000000001,6.257000000000001,0.0,0.0,2.416,0.7126,69.61,749.8610000000001,749.8610000000001,True,True
O00221,O00221,169.09799999999998,0.0,169.09799999999998,0.0,0.6153,2.416,0.0,0.0,251.375,25775.0,True,True
O15440,O14492,1.8315,20.686,20.686,0.0,0.0,2.416,1.5818,10.8,853.7860000000001,853.7860000000001,True,True
O15519,O60502,4.5731,17.9549,17.9549,1.2535,0.0,2.416,18.4426,2.07,2075.85,2075.85,True,True
O00459,O00401,5.3229999999999995,84.9753,84.9753,3.1239999999999997,3.1392,2.416,2.7714,0.31,1729.74,1729.74,True,True
A4D1E9,O14980,5.4412,2.59,5.4412,4.2492,0.0,1.5978,18.4426,0.0,681.313,681.313,True,True
A6NM28,A8K8V0,119.281,0.0,119.281,0.0,5.5574,2.416,1.5818,0.0,2533.32,2533.32,True,True
B1AK53,O75385,43.0172,6.0991,43.0172,0.0,0.6153,2.416,2.7714,10.8,1914.03,1914.03,True,True
O43390,O60870,4.5731,7.40526,7.40526,4.0064,0.0,2.013,9.4687,5.86,3313.8,3313.8,True,True
O14757,O00762,3.1848,6.98487,6.98487,2.3254,0.6153,2.013,38.174,5.86,4500.41,4500.41,True,True
O14641,O14964,11.9953,84.9753,84.9753,1.2535,0.0,2.416,18.4426,2.07,9824.41,9824.41,True,True
A6NHY2,O75179,1843.27,0.0,1843.27,0.0,0.6153,2.416,1.1757,0.0,3221.57,3221.57,True,True
O00566,O43395,0.0,3.67486,3.67486,0.0,0.0,0.0,18.4426,24.11,1634.03,1634.03,True,True
O00267,O60907,6.3361,18.6302,18.6302,1.0145,0.0,2.416,2.7714,5.86,741.5889999999999,741.5889999999999,True,True
O43318,O14492,6.0007,20.7293,20.7293,3.7695,0.6153,2.416,2.1077,69.61,17042.5,17042.5,True,True
O14617,O43681,0.0,0.0,0.81,0.0,9.7902,2.013,9.4687,5.86,885.7439999999999,885.7439999999999,True,True
O15144,O14757,7.763,4.96,7.763,1.2535,9.2808,2.013,9.4687,0.0,1721.37,1721.37,True,True
A6NMU1,A6NL08,299.41900000000004,0.0,299.41900000000004,1.1877,0.6153,2.416,0.4364,5.86,1351.93,1351.93,True,True
O43293,O60861,25.2364,7.132289999999999,25.2364,2.3768,0.0,2.416,2.7714,2.07,831.355,831.355,True,True
O15294,A6NKT7,260.209,0.0,260.209,0.0,0.0,2.013,3.9008,0.0,2043.24,2043.24,True,True
O15392,O75496,0.0,22.1547,22.1547,0.5125,0.0,2.416,45.2798,5.86,7278.78,7278.78,True,True
O00468,O43581,4.5731,3.84,4.5731,0.5125,0.0,2.416,5.6875,105.17,3387.0,3387.0,True,True
O15247,O14530,7.7952,0.0,7.7952,0.9127,0.0,1.5978,3.9008,24.11,1069.13,1069.13,True,True
A6NHA9,O60431,12.2069,0.0,12.2069,1.1877,5.2693,2.416,2.7714,5.86,2997.5,2997.5,True,True
A6NMB9,O15381,517.6759999999999,0.0,517.6759999999999,1.3730000000000002,0.0,0.0,1.1757,0.0,835.6510000000001,835.6510000000001,True,True
O00231,O15357,2.5372,20.6262,20.6262,2.3254,0.0,1.5978,1.5818,5.86,710.3760000000001,710.3760000000001,True,True
O43281,O15205,253.71599999999998,0.0,253.71599999999998,20.9141,0.0,2.013,1.1757,0.0,12558.2,12558.2,True,True
O15105,O14543,1.9487,14.0845,14.0845,2.4090000000000003,0.0,2.416,2.7714,10.8,2453.57,2453.57,True,True
O00555,O15522,12.2069,0.0,12.2069,2.3254,0.0,2.416,5.6875,10.8,4212.55,4212.55,True,True
O14757,O14662,4.5731,0.0,4.5731,2.4090000000000003,9.2808,2.416,3.9008,0.0,963.571,963.571,True,True
O00299,O15247,130.17,2.59,130.17,1.2535,0.0,2.416,1.5818,69.61,43406.6,43406.6,True,True
A4D2G3,A6NM76,66.1952,0.0,66.1952,1.1877,5.2693,2.416,1.5818,5.86,9277.53,9277.53,True,True
O43281,O15034,260.209,84.9753,260.209,0.9127,0.0,2.416,1.5818,0.0,907.6080000000001,907.6080000000001,True,True
O14964,O43663,99.2027,3.84,99.2027,4.0064,0.0,2.416,2.1077,0.0,2023.87,2023.87,True,True
O14786,O14543,2.2022,23.2116,23.2116,2.3254,0.0,2.416,2.7714,24.11,8713.57,8713.57,True,True
O14576,O15066,1.02,6.59807,6.59807,0.7707,0.6153,2.416,2.7714,105.17,2203.32,2203.32,True,True
O43390,O00422,4.7738,2.59,4.7738,3.8142,0.0,2.013,18.4426,0.0,675.98,675.98,True,True
O00555,O43525,45.9762,0.0,45.9762,0.0,0.6153,2.416,9.4687,5.86,3792.32,3792.32,True,True
O14627,O14543,1.8315,15.8041,15.8041,2.3254,0.0,2.416,2.1077,69.61,13027.0,13027.0,True,True
O00468,O00755,0.0,0.0,0.0,0.0,0.0,2.416,3.9008,105.17,991.1569999999999,991.1569999999999,True,True
O15117,O00160,45.9762,21.035,45.9762,0.7707,0.0,2.416,45.2798,0.17,658.975,658.975,True,True
O15144,O15145,0.9682,0.0,0.9682,1.0145,606.3919999999999,1.5978,45.2798,69.61,2999640.0,13875300000.0,True,True
O43150,O15350,43.0172,13.2959,43.0172,2.4090000000000003,0.0,2.416,1.1757,2.07,609.316,609.316,True,True
O00470,O43711,260.209,0.0,260.209,0.5125,0.6153,2.416,0.7126,0.89,125.729,226570.0,True,True
O14672,O75553,1.2265,9.47493,9.47493,0.9127,0.0,2.416,1.1757,69.61,1709.89,1709.89,True,True
O14786,O14788,18.4132,0.0,18.4132,0.9127,0.0,2.416,2.1077,10.8,924.2439999999999,924.2439999999999,True,True
O43150,O75154,3.2502,13.23,13.23,0.9127,0.0,2.416,1.5818,0.0,46.1462,44199.8,True,True
O14920,O14863,2.0611,5.705430000000001,5.705430000000001,3.1239999999999997,0.6153,2.416,1.5818,24.11,1010.49,1010.49,True,True
A8MUV8,A8MUV8,119.281,0.0,119.281,0.0,5.5574,0.0,0.0,0.0,662.8910000000001,662.8910000000001,True,True
O00238,O14770,8.2077,6.024830000000001,8.2077,2.3254,0.6153,2.416,2.7714,10.8,849.2310000000001,849.2310000000001,True,True
O43143,O75554,3.109,4.94562,4.94562,2.3254,0.6153,1.1933,18.4426,5.86,912.5880000000001,874095.0,True,True
O15347,O15020,99.2027,2.59,99.2027,0.9127,0.0,2.416,2.7714,0.0,606.244,606.244,True,True
O00338,O60704,6.0007,0.0,6.0007,0.5125,0.0,1.5978,1.1757,181.01,1045.72,1045.72,True,True
O15394,O14594,48.3918,3.86531,48.3918,0.9127,3.1392,2.416,2.7714,181.01,168042.0,168042.0,True,True
O43323,O60469,997.34,3.67486,997.34,0.0,0.0,2.416,5.6875,2.07,28368.2,28368.2,True,True
O43347,O14492,3.8101,20.686,20.686,0.0,0.6153,2.416,3.9008,5.86,702.929,702.929,True,True
O43306,O14492,2.3512,20.6892,20.6892,0.0,0.0,2.416,1.1757,10.8,634.689,634.689,True,True
O43353,O60880,5.4987,16.112000000000002,16.112000000000002,1.7951,0.6153,2.416,1.1757,69.61,3518.76,3518.76,True,True
O14646,O60934,4.803999999999999,3.3980900000000003,4.803999999999999,2.0764,0.0,2.416,18.4426,2.07,920.033,920.033,True,True
A6NHY2,C9JTQ0,1652.32,0.0,1652.32,1.3730000000000002,0.6153,2.013,1.1757,0.0,3303.64,3303.64,True,True
O15294,O14662,25.2364,0.0,25.2364,1.2535,0.0,2.416,18.4426,0.0,1409.52,1409.52,True,True
O43307,O00194,84.9724,3.51,84.9724,1.3730000000000002,0.6153,2.013,1.1757,5.86,995.573,995.573,True,True
A6NNA5,O15522,253.71599999999998,0.0,253.71599999999998,2.3768,0.0,2.013,5.6875,0.0,6904.08,6904.08,True,True
O14558,O14543,4.5731,13.0046,13.0046,3.1239999999999997,0.0,2.416,2.1077,24.11,4987.82,4987.82,True,True
A6NND4,O43749,45.9762,0.0,45.9762,0.7707,5.2693,2.416,2.7714,5.86,7325.97,7325.97,True,True
O43439,O75376,9.7337,31.9072,31.9072,3.8142,0.6153,2.416,5.6875,0.89,915.7719999999999,4236030.0,True,True
A6QL64,H3BUK9,1652.32,3.84,1652.32,1.1877,0.0,2.416,0.4364,0.0,2069.11,2069.11,True,True
O14744,O43791,1.8315,20.227,20.227,2.3254,0.0,2.013,5.6875,5.86,3155.67,3155.67,True,True
O14964,O43665,19.5858,0.0,19.5858,3.5815,0.0,2.416,1.1757,10.8,2151.91,2151.91,True,True
O14796,A6NKC9,260.209,16.7751,260.209,0.9127,0.0,2.416,1.1757,0.0,674.595,674.595,True,True
O14964,O75381,9.7337,16.8771,16.8771,3.8142,0.0,2.013,9.4687,5.86,7190.07,7190.07,True,True
A6NI72,O15357,99.2027,22.0744,99.2027,2.3254,0.0,2.416,1.5818,2.07,1824.9,1824.9,True,True
O14646,O43390,25.2364,3.84,25.2364,4.2492,0.0,2.416,18.4426,0.0,4778.08,4778.08,True,True
O00468,O60469,4.7738,3.86531,4.7738,0.7707,0.0,2.416,2.7714,69.61,1714.82,1714.82,True,True
O00574,A6NGY5,299.41900000000004,0.0,299.41900000000004,1.1877,0.0,2.013,0.0,0.0,715.8639999999999,715.8639999999999,True,True
O15381,O43913,18.9532,0.0,18.9532,0.0,0.0,1.5978,45.2798,0.0,1371.23,1371.23,True,True
O15353,O15522,4.3388,0.0,4.3388,1.1877,0.0,2.416,5.6875,24.11,1707.23,1707.23,True,True
O14641,O00762,20.4939,10.8249,20.4939,1.2535,0.0,1.5978,2.7714,5.86,666.6039999999999,666.6039999999999,True,True
O15169,O00555,12.2069,5.24327,12.2069,0.0,0.0,2.416,1.5818,24.11,1124.74,1124.74,True,True
O15145,O00762,0.9682,7.35495,7.35495,1.2535,0.6153,0.0,5.6875,24.11,777.875,777.875,True,True
A4D1E9,O00522,7.7952,2.59,7.7952,0.9127,0.0,2.416,45.2798,0.0,778.317,778.317,True,True
O14653,O15357,1.5932,14.0845,14.0845,2.3254,0.0,2.013,2.7714,5.86,1070.73,1070.73,True,True
O14965,O00506,299.41900000000004,6.7087,299.41900000000004,4.2492,0.6153,2.013,3.9008,2.07,12724.5,12724.5,True,True
O15037,O15037,997.34,0.0,997.34,0.0,0.0,0.0,0.0,0.0,997.34,997.34,True,True
O15169,O15111,11.9953,7.40526,11.9953,2.4090000000000003,0.6153,2.416,1.5818,10.8,733.85,733.85,True,True
A6NCL7,E5RJM6,299.41900000000004,0.0,299.41900000000004,1.5513,0.0,2.013,1.1757,0.0,1099.3,1099.3,True,True
O43293,B1AK53,119.281,7.3468800000000005,119.281,1.774,0.6153,2.416,2.7714,0.89,775.8839999999999,775.8839999999999,True,True
O00187,O43639,253.71599999999998,20.6262,253.71599999999998,1.0145,0.6153,2.416,1.5818,5.86,3546.77,3546.77,True,True
O14734,O00623,1.8531,0.0,1.8531,0.0,0.0,1.5978,2.7714,105.17,863.003,863.003,True,True
O14908,O43294,4.5731,0.0,4.5731,1.2535,0.0,2.416,2.7714,181.01,6947.58,6947.58,True,True
A6NJZ3,A6NM76,66.1952,0.0,66.1952,1.1877,5.2693,0.0,2.7714,5.86,6727.95,6727.95,True,True
A6NHA9,A6NL08,12.2069,0.0,12.2069,1.1877,5.2693,2.416,3.9008,5.86,4219.04,4219.04,True,True
O43283,O43639,6.0007,22.0744,22.0744,2.3588,0.6153,2.416,2.7714,5.86,1257.07,1257.07,True,True
O43313,O75290,99.2027,0.0,99.2027,0.0,0.0,2.013,3.9008,0.0,778.97,778.97,True,True
O14908,O15118,1.1641,9.47493,9.47493,0.5125,0.0,2.416,2.1077,105.17,2600.56,2600.56,True,True
O15085,O60880,5.0523,23.2116,23.2116,1.7951,0.0,2.416,1.1757,5.86,693.561,693.561,True,True
O14613,O00175,0.0,3.84,3.84,0.0,0.0,2.416,2.7714,181.01,4654.04,4654.04,True,True
O15239,O75380,0.0,0.0,0.0,0.9127,0.0,1.5978,45.2798,69.61,4596.49,4596.49,True,True
O00571,O60884,1.8315,0.0,1.8315,3.8142,3.1392,2.013,45.2798,0.0,1998.84,1998.84,True,True
O15155,O15498,0.0,0.0,0.0,0.0,158.12,2.013,5.6875,69.61,126016.0,126016.0,True,True
O15372,O43639,5.0295,22.0744,22.0744,1.7092,0.0,2.416,2.7714,10.8,2728.36,2613280.0,True,True
A6NFN3,A6NFN3,66.7858,0.0,66.7858,0.0,5.052,2.416,0.0,0.0,815.163,815.163,True,True
A6NKC9,O15357,130.17,20.7326,130.17,3.1239999999999997,0.0,2.416,0.8888,0.0,873.2189999999999,873.2189999999999,True,True
O15131,O15397,4.5731,4.98492,4.98492,0.0,0.0,2.416,9.4687,5.86,668.2560000000001,668.2560000000001,True,True
O00584,O43791,1.5932,84.52,84.52,0.0,0.0,2.013,3.9008,0.0,663.677,663.677,True,True
O43312,O15205,30.3442,5.22,30.3442,20.9141,0.0,1.5978,1.1757,0.0,1192.16,1192.16,True,True
