Prot1,Prot2,Binding_Score,PDBs
P01732,O00241,84.286561,P01732_O00241.pdb
Q9Y5E2,O60330,-4.985263,Q9Y5E2_O60330.pdb
Q8TDW7,Q9Y5H5,-4.723609,Q8TDW7_Q9Y5H5.pdb
Q14517,Q6V0I7,-5.144921,Q14517_Q6V0I7.pdb
P78552,Q92692,28.404832,P78552_Q92692.pdb
P07359,P14770,44.386249,P07359_P14770.pdb
Q15762,Q8NI17,94.333624,Q15762_Q8NI17.pdb
O75882,Q9Y561,98.729424,O75882_Q9Y561.pdb
O43157,Q9NTN9,11.24659,O43157_Q9NTN9.pdb
Q02487,Q9Y5E2,-0.908815,Q02487_Q9Y5E2.pdb
P18084,Q9BZZ2,210.183362,P18084_Q9BZZ2.pdb
P01730,Q6UWB1,106.656529,P01730_Q6UWB1.pdb
P38570,P11215,6.627318,P38570_P11215.pdb
P20701,P16581,144.453229,P20701_P16581.pdb
P55286,Q08174,-5.283815,P55286_Q08174.pdb
O60500,Q01974,296.096318,O60500_Q01974.pdb
Q9HBB8,Q14574,-4.878003,Q9HBB8_Q14574.pdb
Q15109,Q15109,148.320892,Q15109_Q15109.pdb
Q13443,P05556,24.60409,Q13443_P05556.pdb
Q96AP7,P13591,84.101638,Q96AP7_P13591.pdb
Q9UJ99,Q9HCL0,4.262035,Q9UJ99_Q9HCL0.pdb
Q9Y5H1,Q9Y5H0,-4.86032,Q9Y5H1_Q9Y5H0.pdb
P30511,P30511,136.196507,P30511_P30511.pdb
Q13477,P19320,20.980663,Q13477_P19320.pdb
P10747,Q99650,9.502584,P10747_Q99650.pdb
P26842,P40259,-1.685791,P26842_P40259.pdb
P42081,Q9NYK1,5.059994,P42081_Q9NYK1.pdb
P17813,P17813,-4.833995,P17813_P17813.pdb
Q9H251,Q9Y5G7,-4.051401,Q9H251_Q9Y5G7.pdb
Q9Y5I2,Q9Y5H2,-5.218384,Q9Y5I2_Q9Y5H2.pdb
Q9UKX5,P38570,16.59709,Q9UKX5_P38570.pdb
O15197,P04626,82.760037,O15197_P04626.pdb
P21709,P54760,13.520739,P21709_P54760.pdb
P55291,Q9Y5I0,-2.154502,P55291_Q9Y5I0.pdb
P16410,Q9HBE5,20.913953,P16410_Q9HBE5.pdb
P10586,P35590,152.729445,P10586_P35590.pdb
Q9Y5F2,Q9Y5F6,-5.290681,Q9Y5F2_Q9Y5F6.pdb
P15813,P06729,6.96806,P15813_P06729.pdb
P10747,Q92956,3.64589,P10747_Q92956.pdb
Q9H251,Q9Y5G5,-4.051401,Q9H251_Q9Y5G5.pdb
P01732,P13747,272.831819,P01732_P13747.pdb
Q08554,O95206,1.831087,Q08554_O95206.pdb
Q9UKX5,O75578,7.377642,Q9UKX5_O75578.pdb
P16070,P33681,243.45724,P16070_P33681.pdb
P17693,Q8N109,276.560999,P17693_Q8N109.pdb
Q9Y5E7,Q9Y5F1,-5.645798,Q9Y5E7_Q9Y5F1.pdb
O60487,Q92692,0.843427,O60487_Q92692.pdb
P46531,P35968,93.850433,P46531_P35968.pdb
Q8IXH8,O95206,-4.54678,Q8IXH8_O95206.pdb
P01732,Q8NET5,8.917303,P01732_Q8NET5.pdb
Q9H2E6,Q9H2E6,-0.806159,Q9H2E6_Q9H2E6.pdb
P07766,Q96DU3,2.18278,P07766_Q96DU3.pdb
Q15762,P19438,15.659197,Q15762_P19438.pdb
P01911,P01903,-1.119845,P01911_P01903.pdb
Q9BY67,P10586,292.906501,Q9BY67_P10586.pdb
Q9UM44,Q86SU0,227.10423,Q9UM44_Q86SU0.pdb
Q9UMF0,Q86YT9,286.532418,Q9UMF0_Q86YT9.pdb
Q16620,P09619,33.434385,Q16620_P09619.pdb
Q99665,P46531,150.948384,Q99665_P46531.pdb
Q15303,Q13477,64.973793,Q15303_Q13477.pdb
Q9Y5E2,Q9Y5G0,-4.636502,Q9Y5E2_Q9Y5G0.pdb
Q15762,P57087,142.722018,Q15762_P57087.pdb
Q8NI17,P07204,5.771688,Q8NI17_P07204.pdb
P16410,Q92823,274.160419,P16410_Q92823.pdb
Q96AP7,Q8TD46,143.472352,Q96AP7_Q8TD46.pdb
P00533,P41217,110.973717,P00533_P41217.pdb
P01732,O14522,115.874651,P01732_O14522.pdb
Q9BZA8,Q9Y5E6,-4.252737,Q9BZA8_Q9Y5E6.pdb
P23469,P28827,33.006057,P23469_P28827.pdb
P13612,Q8NHL6,92.848021,P13612_Q8NHL6.pdb
P55283,Q9Y5F8,-3.853195,P55283_Q9Y5F8.pdb
P55291,Q9HC56,-3.828111,P55291_Q9HC56.pdb
Q96AP7,O95944,3.474672,Q96AP7_O95944.pdb
P55285,Q9Y5H6,0.778924,P55285_Q9Y5H6.pdb
P00533,Q96NY8,94.931794,P00533_Q96NY8.pdb
Q9Y5I4,Q9Y5F6,-4.525321,Q9Y5I4_Q9Y5F6.pdb
Q8N126,Q8TD84,63.263771,Q8N126_Q8TD84.pdb
Q96FE5,Q9Y6N7,86.64007,Q96FE5_Q9Y6N7.pdb
Q9UHF4,P48551,315.214425,Q9UHF4_P48551.pdb
Q9UM73,P29376,102.395356,Q9UM73_P29376.pdb
Q9NP60,P18627,533.887336,Q9NP60_P18627.pdb
P09564,Q9BX67,129.024387,P09564_Q9BX67.pdb
Q30201,P23229,2.056358,Q30201_P23229.pdb
P01730,P78423,27.940906,P01730_P78423.pdb
P12830,Q14574,1.518409,P12830_Q14574.pdb
Q9NSI5,Q8N423,74.480865,Q9NSI5_Q8N423.pdb
Q9UM73,P21709,22.360741,Q9UM73_P21709.pdb
Q9ULB1,Q9Y4C0,865.979015,Q9ULB1_Q9Y4C0.pdb
Q9P2E7,O95206,-4.991171,Q9P2E7_O95206.pdb
P26010,P26010,29.864514,P26010_P26010.pdb
P29016,P17693,279.028645,P29016_P17693.pdb
Q9Y5I3,Q9Y5G4,-4.968062,Q9Y5I3_Q9Y5G4.pdb
Q9H7M9,P05107,-0.179287,Q9H7M9_P05107.pdb
P01730,Q9Y3P8,27.354951,P01730_Q9Y3P8.pdb
Q15768,P54753,5.325056,Q15768_P54753.pdb
P16150,Q9NZQ7,20.825084,P16150_Q9NZQ7.pdb
Q02413,Q14126,0.490686,Q02413_Q14126.pdb
Q96FE5,O94991,55.6419,Q96FE5_O94991.pdb
Q9BZA8,Q9Y5I2,-4.467383,Q9BZA8_Q9Y5I2.pdb
Q9Y5H4,Q9Y5G5,-5.330622,Q9Y5H4_Q9Y5G5.pdb
Q9NPY3,Q13018,6.578975,Q9NPY3_Q13018.pdb
P01732,O95185,70.98961,P01732_O95185.pdb
Q15762,O60603,5.195103,Q15762_O60603.pdb
P20138,P01732,13.86983,P20138_P01732.pdb
P29323,O15146,26.646505,P29323_O15146.pdb
P14778,Q8N423,49.511117,P14778_Q8N423.pdb
P37023,P37173,-3.240972,P37023_P37173.pdb
Q13873,P35590,-3.343919,Q13873_P35590.pdb
P00533,Q8IW00,124.161082,P00533_Q8IW00.pdb
Q14126,Q9Y5G2,-2.848714,Q14126_Q9Y5G2.pdb
P32942,Q13477,26.064631,P32942_Q13477.pdb
Q8NFT8,Q04721,31.199406,Q8NFT8_Q04721.pdb
Q9BY67,P78310,124.324012,Q9BY67_P78310.pdb
P11362,P22455,53.859704,P11362_P22455.pdb
P09564,P05106,-5.00364,P09564_P05106.pdb
Q9Y5G9,Q9Y5G8,-5.400444,Q9Y5G9_Q9Y5G8.pdb
P55289,O75309,-2.537066,P55289_O75309.pdb
P12319,Q9NZQ7,135.262765,P12319_Q9NZQ7.pdb
P37023,P25189,4.031978,P37023_P25189.pdb
P54762,P11362,-4.964915,P54762_P11362.pdb
P05067,P35968,-4.673146,P05067_P35968.pdb
P37173,Q02763,36.735471,P37173_Q02763.pdb
Q5VT99,Q9H156,13.776591,Q5VT99_Q9H156.pdb
P54753,Q9P2J2,147.004609,P54753_Q9P2J2.pdb
P36896,P17948,3.054419,P36896_P17948.pdb
Q13634,Q9Y5E4,-1.104022,Q13634_Q9Y5E4.pdb
P42701,P46531,125.858821,P42701_P46531.pdb
Q9Y4C0,O75445,570.722744,Q9Y4C0_O75445.pdb
P05107,Q9NY15,328.706129,P05107_Q9NY15.pdb
P29016,P01920,236.06287,P29016_P01920.pdb
P29317,P17948,6.200331,P29317_P17948.pdb
Q9UKJ0,O15455,60.724401,Q9UKJ0_O15455.pdb
Q15262,Q92729,-0.510849,Q15262_Q92729.pdb
Q6UXL0,Q13477,17.048483,Q6UXL0_Q13477.pdb
P55283,Q96PX8,5.610597,P55283_Q96PX8.pdb
P32926,Q9Y5G6,3.947426,P32926_Q9Y5G6.pdb
Q9Y5H7,Q9Y5F7,-4.481168,Q9Y5H7_Q9Y5F7.pdb
P12830,Q9Y5H5,0.736512,P12830_Q9Y5H5.pdb
P01732,Q96DU3,144.031701,P01732_Q96DU3.pdb
O60486,Q9NTN9,18.484833,O60486_Q9NTN9.pdb
P54756,Q5JZY3,2.381051,P54756_Q5JZY3.pdb
O95727,O14786,59.805058,O95727_O14786.pdb
P16581,P15529,-4.298824,P16581_P15529.pdb
P09603,P49771,316.931782,P09603_P49771.pdb
Q9Y5E7,Q9Y5H2,-4.847092,Q9Y5E7_Q9Y5H2.pdb
Q9H3S1,Q92854,-1.294361,Q9H3S1_Q92854.pdb
Q9BZ76,Q9ULB1,737.972102,Q9BZ76_Q9ULB1.pdb
P78310,P05362,97.093751,P78310_P05362.pdb
Q9H251,Q14517,-5.001433,Q9H251_Q14517.pdb
Q14126,Q9Y5E2,-0.597241,Q14126_Q9Y5E2.pdb
Q9ULB5,Q96JQ0,-2.486447,Q9ULB5_Q96JQ0.pdb
Q8TAB3,O60245,-3.858033,Q8TAB3_O60245.pdb
Q8N423,P36941,-0.588664,Q8N423_P36941.pdb
Q15762,Q8NHL6,105.083711,Q15762_Q8NHL6.pdb
P46531,P17948,87.528542,P46531_P17948.pdb
Q9UKJ1,P13726,25.184431,Q9UKJ1_P13726.pdb
P01909,P00533,-4.7,P01909_P00533.pdb
P01732,P43626,97.735231,P01732_P43626.pdb
P08887,P16471,239.095854,P08887_P16471.pdb
Q12866,Q01974,24.262438,Q12866_Q01974.pdb
P05362,O75144,101.394209,P05362_O75144.pdb
Q07954,Q92673,908.127642,Q07954_Q92673.pdb
Q9H251,Q8TAB3,-3.889892,Q9H251_Q8TAB3.pdb
P55899,Q8N423,344.159239,P55899_Q8N423.pdb
P13224,Q6PJG9,73.901999,P13224_Q6PJG9.pdb
Q99665,P17181,62.144975,Q99665_P17181.pdb
P32926,Q9UN67,7.359705,P32926_Q9UN67.pdb
P40189,Q9NZC2,-0.320166,P40189_Q9NZC2.pdb
P55285,Q08174,-3.239765,P55285_Q08174.pdb
O15394,O94856,12.969653,O15394_O94856.pdb
Q86WK6,Q9P244,399.353853,Q86WK6_Q9P244.pdb
P03372,Q6UWB1,150.519525,P03372_Q6UWB1.pdb
Q92823,Q9Y4C0,11.14425,Q92823_Q9Y4C0.pdb
Q9Y5I1,Q9Y5G1,-4.933467,Q9Y5I1_Q9Y5G1.pdb
Q9H251,P22223,5.531688,Q9H251_P22223.pdb
Q12907,P49755,301.547432,Q12907_P49755.pdb
Q86SJ2,P19022,-6.902478,Q86SJ2_P19022.pdb
Q9NR61,P78504,-2.597329,Q9NR61_P78504.pdb
P13688,Q9Y6N7,283.513932,P13688_Q9Y6N7.pdb
Q14126,Q8TAB3,-3.309781,Q14126_Q8TAB3.pdb
Q8TDF5,Q9Y639,202.454538,Q8TDF5_Q9Y639.pdb
P43631,Q8NHL6,33.777046,P43631_Q8NHL6.pdb
Q15762,P15151,167.887039,Q15762_P15151.pdb
Q9BY67,Q5DX21,101.982709,Q9BY67_Q5DX21.pdb
O43157,Q9NPR2,10.861871,O43157_Q9NPR2.pdb
P10966,P10912,-5.514508,P10966_P10912.pdb
Q8TD84,Q96AP7,67.349936,Q8TD84_Q96AP7.pdb
Q9NYQ8,Q8TDW7,-5.58256,Q9NYQ8_Q8TDW7.pdb
Q5ZPR3,Q29983,301.616217,Q5ZPR3_Q29983.pdb
P31994,Q92637,375.001219,P31994_Q92637.pdb
Q13145,P03372,165.13386,Q13145_P03372.pdb
Q96JQ0,Q9Y5E1,-4.98324,Q96JQ0_Q9Y5E1.pdb
Q9H156,Q9H5Y7,44.062021,Q9H156_Q9H5Y7.pdb
P26010,Q96DU3,31.213635,P26010_Q96DU3.pdb
P55289,P19022,5.748298,P55289_P19022.pdb
P01730,P48357,-4.7,P01730_P48357.pdb
Q13634,Q8TAB3,0.071438,Q13634_Q8TAB3.pdb
Q86UP0,Q9Y5H0,3.062023,Q86UP0_Q9Y5H0.pdb
P15813,O00206,208.871931,P15813_O00206.pdb
P40189,P10586,437.964164,P40189_P10586.pdb
Q15762,Q6UWB1,64.950623,Q15762_Q6UWB1.pdb
P01730,P21709,10.992274,P01730_P21709.pdb
Q8IXH8,Q9Y5F6,-1.446243,Q8IXH8_Q9Y5F6.pdb
P55286,Q9HCL0,4.262035,P55286_Q9HCL0.pdb
Q9HBT6,Q14574,-8.007552,Q9HBT6_Q14574.pdb
Q29983,P15151,201.141666,Q29983_P15151.pdb
P13224,P19320,-0.189951,P13224_P19320.pdb
Q9Y6N8,Q02413,-0.858115,Q9Y6N8_Q02413.pdb
Q9Y5E2,Q9Y5G4,-4.985263,Q9Y5E2_Q9Y5G4.pdb
P08138,Q6ZN44,-4.177673,P08138_Q6ZN44.pdb
P17301,P19320,34.206418,P17301_P19320.pdb
P55285,Q9P2E7,-3.561691,P55285_Q9P2E7.pdb
P05362,P78324,49.749933,P05362_P78324.pdb
P10321,A6NI73,334.594991,P10321_A6NI73.pdb
Q9Y5Z0,Q9Y5Z0,1146.914228,Q9Y5Z0_Q9Y5Z0.pdb
Q8IXH8,Q9Y5E4,-1.485631,Q8IXH8_Q9Y5E4.pdb
Q16832,P10721,13.398254,Q16832_P10721.pdb
P07359,Q99075,91.197997,P07359_Q99075.pdb
P55289,Q9Y5G5,0.004931,P55289_Q9Y5G5.pdb
Q14126,P32926,3.281469,Q14126_P32926.pdb
Q9UN66,Q9Y5H0,-5.637941,Q9UN66_Q9Y5H0.pdb
P12318,Q13651,-1.69545,P12318_Q13651.pdb
P03372,P23469,3.033117,P03372_P23469.pdb
Q9P246,Q9P246,82.572478,Q9P246_Q9P246.pdb
Q9HBB8,Q9Y5H6,9.405984,Q9HBB8_Q9Y5H6.pdb
Q9Y6N8,Q9H251,-0.586946,Q9Y6N8_Q9H251.pdb
Q86YL7,O00206,45.910508,Q86YL7_O00206.pdb
P05067,P01871,-0.400955,P05067_P01871.pdb
P06340,Q9NQ25,5.067001,P06340_Q9NQ25.pdb
Q13797,P16144,-10.739688,Q13797_P16144.pdb
Q9Y5G6,Q9Y5F6,-5.30726,Q9Y5G6_Q9Y5F6.pdb
Q9BY67,P12319,40.206307,Q9BY67_P12319.pdb
P13591,P13726,35.636431,P13591_P13726.pdb
O75144,Q9BRK3,356.084317,O75144_Q9BRK3.pdb
P29317,Q9Y6N7,-0.233928,P29317_Q9Y6N7.pdb
O75144,Q8N423,126.220145,O75144_Q8N423.pdb
P55291,Q9Y5H4,-3.972248,P55291_Q9Y5H4.pdb
Q13478,Q9BXR5,131.793823,Q13478_Q9BXR5.pdb
Q01151,P11362,221.617681,Q01151_P11362.pdb
Q15375,Q02763,117.099536,Q15375_Q02763.pdb
Q86WK6,P08138,3.228629,Q86WK6_P08138.pdb
Q9BZA8,Q9H158,-4.242642,Q9BZA8_Q9H158.pdb
Q9H7M9,P05362,253.442799,Q9H7M9_P05362.pdb
P79483,P30511,64.8836,P79483_P30511.pdb
P05538,Q14943,44.134045,P05538_Q14943.pdb
P00533,P19256,76.498147,P00533_P19256.pdb
Q9HBT6,Q9Y5F8,-2.601087,Q9HBT6_Q9Y5F8.pdb
P05556,O75197,323.72242,P05556_O75197.pdb
O60469,Q15375,145.608182,O60469_Q15375.pdb
P43630,Q8NHL6,68.802334,P43630_Q8NHL6.pdb
Q9Y5G5,Q9HC56,-3.933581,Q9Y5G5_Q9HC56.pdb
Q6UXZ3,Q14943,78.327936,Q6UXZ3_Q14943.pdb
P00533,Q8WWQ8,61.332021,P00533_Q8WWQ8.pdb
P21709,P29376,127.006898,P21709_P29376.pdb
Q9Y5I4,Q9Y5G1,-4.275416,Q9Y5I4_Q9Y5G1.pdb
P15382,Q99466,14.669741,P15382_Q99466.pdb
P08069,Q9UKJ0,19.666368,P08069_Q9UKJ0.pdb
O75309,Q96JQ0,-5.132438,O75309_Q96JQ0.pdb
Q8IXH8,Q9Y5E9,-1.192618,Q8IXH8_Q9Y5E9.pdb
O94856,Q9Y6N7,96.940408,O94856_Q9Y6N7.pdb
Q9BYE9,Q9Y5G1,-4.76106,Q9BYE9_Q9Y5G1.pdb
Q92692,O14763,7.196387,Q92692_O14763.pdb
Q9BYE9,Q9Y5H5,-4.9387,Q9BYE9_Q9Y5H5.pdb
P06340,Q29980,252.44154,P06340_Q29980.pdb
Q9Y6W8,Q8N423,192.176762,Q9Y6W8_Q8N423.pdb
Q9BZZ2,P19320,-3.789228,Q9BZZ2_P19320.pdb
Q9H251,Q9Y5H5,-4.699032,Q9H251_Q9Y5H5.pdb
Q9Y5I1,Q9Y5E8,-5.316868,Q9Y5I1_Q9Y5E8.pdb
O00481,O00478,198.306172,O00481_O00478.pdb
P15813,P40259,333.944042,P15813_P40259.pdb
Q12913,P13726,10.07331,Q12913_P13726.pdb
Q15303,O14944,5.856434,Q15303_O14944.pdb
P08069,Q02763,11.879692,P08069_Q02763.pdb
P50281,Q15262,32.943343,P50281_Q15262.pdb
Q08554,Q9Y5H2,4.599866,Q08554_Q9Y5H2.pdb
Q9C0A0,Q9P2S2,752.275191,Q9C0A0_Q9P2S2.pdb
Q96PD2,Q99075,93.544607,Q96PD2_Q99075.pdb
Q86SJ2,Q8TF66,176.145112,Q86SJ2_Q8TF66.pdb
P33681,P10966,146.729095,P33681_P10966.pdb
P20138,Q9H7M9,13.842086,P20138_Q9H7M9.pdb
P50895,P57087,74.850299,P50895_P57087.pdb
Q8WWV6,Q9UM44,152.88203,Q8WWV6_Q9UM44.pdb
Q9ULB4,Q9UN72,-1.980046,Q9ULB4_Q9UN72.pdb
P32004,O15394,15.575059,P32004_O15394.pdb
P21709,Q15303,176.669337,P21709_Q15303.pdb
Q15303,Q96JA1,102.360998,Q15303_Q96JA1.pdb
Q15375,P05106,56.683773,Q15375_P05106.pdb
P20701,O60603,212.726974,P20701_O60603.pdb
P10321,P17693,54.761944,P10321_P17693.pdb
P36896,P36888,1.225326,P36896_P36888.pdb
P55899,Q95460,159.077631,P55899_Q95460.pdb
O95256,Q9Y2C9,1.46846,O95256_Q9Y2C9.pdb
Q9UJ99,Q9Y5I4,1.170925,Q9UJ99_Q9Y5I4.pdb
P01732,Q6V0I7,33.996102,P01732_Q6V0I7.pdb
Q8TDQ1,Q8TDQ0,43.828075,Q8TDQ1_Q8TDQ0.pdb
P78357,Q9BZ76,615.6135,P78357_Q9BZ76.pdb
Q9P2E7,Q96QU1,-5.001599,Q9P2E7_Q96QU1.pdb
P03372,O14522,-6.483767,P03372_O14522.pdb
Q9HBT6,Q8IXH8,-6.10224,Q9HBT6_Q8IXH8.pdb
P22607,Q9Y639,59.258101,P22607_Q9Y639.pdb
Q8TAB3,Q9HC56,-3.858033,Q8TAB3_Q9HC56.pdb
Q9UM44,Q96DU3,92.76529,Q9UM44_Q96DU3.pdb
O75309,Q9Y5E5,-5.227368,O75309_Q9Y5E5.pdb
P55289,Q9P2E7,-2.954324,P55289_Q9P2E7.pdb
Q8N423,O60939,218.75439,Q8N423_O60939.pdb
P13591,O14522,258.082328,P13591_O14522.pdb
P19235,Q9BRK3,16.607574,P19235_Q9BRK3.pdb
Q16288,Q02763,43.254432,Q16288_Q02763.pdb
Q9UJ99,Q9Y5H9,-2.026303,Q9UJ99_Q9Y5H9.pdb
Q14517,Q9Y5E7,-5.034769,Q14517_Q9Y5E7.pdb
P08069,P05107,142.168933,P08069_P05107.pdb
Q9HCL0,Q9Y5E1,-4.937601,Q9HCL0_Q9Y5E1.pdb
P38570,P20701,10.445938,P38570_P20701.pdb
O95727,P05538,19.297453,O95727_P05538.pdb
O75578,Q13797,91.154979,O75578_Q13797.pdb
P10586,P17948,213.255939,P10586_P17948.pdb
Q14126,Q9Y5G9,1.880785,Q14126_Q9Y5G9.pdb
Q9Y5H7,Q9Y5E9,-5.211224,Q9Y5H7_Q9Y5E9.pdb
Q30154,Q29983,43.823767,Q30154_Q29983.pdb
P10321,P04440,202.953531,P10321_P04440.pdb
Q9HBB8,Q96JQ0,2.483685,Q9HBB8_Q96JQ0.pdb
Q9BZW8,P41217,145.566284,Q9BZW8_P41217.pdb
Q16827,O14522,132.078868,Q16827_O14522.pdb
Q96MS0,Q96PX8,-4.742173,Q96MS0_Q96PX8.pdb
Q12864,Q14126,0.583152,Q12864_Q14126.pdb
P36896,P27037,-3.387664,P36896_P27037.pdb
Q6UXG3,Q99795,17.39006,Q6UXG3_Q99795.pdb
P00533,Q9HBG7,245.246464,P00533_Q9HBG7.pdb
O75309,Q9Y5G3,-5.465044,O75309_Q9Y5G3.pdb
P22455,Q9Y639,61.493107,P22455_Q9Y639.pdb
P06340,Q9NZC2,50.275988,P06340_Q9NZC2.pdb
Q13634,Q9Y5H0,-1.090197,Q13634_Q9Y5H0.pdb
Q14517,P40200,22.934192,Q14517_P40200.pdb
Q9UN67,O60330,-5.002904,Q9UN67_O60330.pdb
P43632,Q8NHL6,32.492333,P43632_Q8NHL6.pdb
O95727,P12319,44.077785,O95727_P12319.pdb
Q16790,Q16790,-8.209304,Q16790_Q16790.pdb
P10586,Q9H5Y7,0.752645,P10586_Q9H5Y7.pdb
P05538,P05362,18.028422,P05538_P05362.pdb
Q8N423,Q9UKJ1,256.230721,Q8N423_Q9UKJ1.pdb
Q15109,P78423,-0.66173,Q15109_P78423.pdb
Q9H4D0,Q9Y5E6,8.110962,Q9H4D0_Q9Y5E6.pdb
P21709,P35590,66.896095,P21709_P35590.pdb
Q6ZTQ4,Q9Y5G6,-4.291194,Q6ZTQ4_Q9Y5G6.pdb
P08069,Q15109,43.36205,P08069_Q15109.pdb
O95727,O95976,44.718846,O95727_O95976.pdb
Q9BZA7,Q9Y5E4,-4.177665,Q9BZA7_Q9Y5E4.pdb
Q13478,Q9Y2C9,133.786018,Q13478_Q9Y2C9.pdb
P05067,O60469,-4.43024,P05067_O60469.pdb
P04629,Q01974,32.411676,P04629_Q01974.pdb
Q96AP7,P35590,73.469389,Q96AP7_P35590.pdb
P16066,P35070,71.597101,P16066_P35070.pdb
Q12864,Q9Y5H5,-5.058655,Q12864_Q9Y5H5.pdb
Q9UN72,Q9H158,-4.988521,Q9UN72_Q9H158.pdb
P10747,Q13651,24.244918,P10747_Q13651.pdb
Q8TDW7,Q9Y5F6,-5.014276,Q8TDW7_Q9Y5F6.pdb
P14770,Q86UE6,-2.941627,P14770_Q86UE6.pdb
P54762,P05107,158.237146,P54762_P05107.pdb
Q13634,Q9ULB4,6.132537,Q13634_Q9ULB4.pdb
P00533,P36888,77.600342,P00533_P36888.pdb
P22897,Q13018,92.589361,P22897_Q13018.pdb
P55291,Q8TAB3,-3.828111,P55291_Q8TAB3.pdb
Q16832,P21802,106.953129,Q16832_P21802.pdb
Q9BTN0,P13591,13.616773,Q9BTN0_P13591.pdb
P10721,Q01974,188.31689,P10721_Q01974.pdb
Q9UN71,O60245,-3.810503,Q9UN71_O60245.pdb
P29017,P01903,296.375012,P29017_P01903.pdb
Q15762,Q15762,177.762706,Q15762_Q15762.pdb
P19438,P28908,3.48938,P19438_P28908.pdb
P09564,P33681,178.094171,P09564_P33681.pdb
Q9UKX5,P16144,8.226894,Q9UKX5_P16144.pdb
P36888,Q8NET5,234.586062,P36888_Q8NET5.pdb
P40197,Q13641,35.763255,P40197_Q13641.pdb
P09564,O75871,160.940912,P09564_O75871.pdb
P06729,Q9Y2C9,24.595953,P06729_Q9Y2C9.pdb
P09564,P29323,-4.41115,P09564_P29323.pdb
Q8TAB3,Q9NRJ7,-5.452189,Q8TAB3_Q9NRJ7.pdb
Q13797,P06756,89.982495,Q13797_P06756.pdb
O14786,P28827,252.907945,O14786_P28827.pdb
Q29983,Q9NZQ7,324.271445,Q29983_Q9NZQ7.pdb
Q9BXR5,O60603,21.23288,Q9BXR5_O60603.pdb
P01732,A8K4G0,28.928428,P01732_A8K4G0.pdb
Q15762,P78324,112.843889,Q15762_P78324.pdb
Q96PL5,Q8NHL6,227.753335,Q96PL5_Q8NHL6.pdb
Q14517,Q9Y5H7,-4.251054,Q14517_Q9Y5H7.pdb
Q8N423,O95944,208.823491,Q8N423_O95944.pdb
Q13683,P46531,3.269822,Q13683_P46531.pdb
P36897,P37173,0.097325,P36897_P37173.pdb
P10966,P21709,33.183974,P10966_P21709.pdb
Q9BQT9,Q02413,4.618728,Q9BQT9_Q02413.pdb
Q9UKX5,Q9UKX5,14.40399,Q9UKX5_Q9UKX5.pdb
P54764,O14786,159.736999,P54764_O14786.pdb
Q12864,O60330,-4.542954,Q12864_O60330.pdb
Q8N131,P36897,7.539561,Q8N131_P36897.pdb
P14784,P31785,28.804956,P14784_P31785.pdb
P08514,P06756,45.235712,P08514_P06756.pdb
P05067,O95754,24.482771,P05067_O95754.pdb
Q15303,P12319,-0.92176,Q15303_P12319.pdb
P06340,P01920,10.719197,P06340_P01920.pdb
Q9BY67,Q92823,75.153978,Q9BY67_Q92823.pdb
P16070,P37173,236.784826,P16070_P37173.pdb
Q99706,O75019,226.905108,Q99706_O75019.pdb
P10321,P01920,67.163621,P10321_P01920.pdb
O60462,P51805,280.532029,O60462_P51805.pdb
P22223,Q6V0I7,0.729953,P22223_Q6V0I7.pdb
Q13740,P54762,14.305697,Q13740_P54762.pdb
Q9Y5E4,Q9Y5H0,-5.553667,Q9Y5E4_Q9Y5H0.pdb
P15813,P31994,318.992428,P15813_P31994.pdb
Q6UXE8,O75871,185.993598,Q6UXE8_O75871.pdb
Q6UXL0,O14931,-5.142158,Q6UXL0_O14931.pdb
Q6UXL0,P40189,32.277277,Q6UXL0_P40189.pdb
Q9Y5F7,Q9Y5F6,-4.981619,Q9Y5F7_Q9Y5F6.pdb
Q9Y4C0,P19320,6.650125,Q9Y4C0_P19320.pdb
P26842,Q14943,87.529279,P26842_Q14943.pdb
Q9Y5F0,O60245,-4.544637,Q9Y5F0_O60245.pdb
O14672,Q8N131,38.160845,O14672_Q8N131.pdb
Q9HCL0,O95206,-5.046772,Q9HCL0_O95206.pdb
P10747,P15260,12.134134,P10747_P15260.pdb
Q9Y5F8,O60245,-4.468133,Q9Y5F8_O60245.pdb
Q9Y5F1,Q9Y5H4,-5.154559,Q9Y5F1_Q9Y5H4.pdb
Q9NPH3,P18564,116.954298,Q9NPH3_P18564.pdb
Q5ZPR3,P16871,52.408672,Q5ZPR3_P16871.pdb
Q9Y5I0,Q9Y5F9,-4.464791,Q9Y5I0_Q9Y5F9.pdb
O14931,O00206,21.701264,O14931_O00206.pdb
P29323,Q92823,281.048355,P29323_Q92823.pdb
P55289,Q9Y5F7,-3.028088,P55289_Q9Y5F7.pdb
P01730,Q9NZC2,5.824865,P01730_Q9NZC2.pdb
Q9Y5G7,Q9Y5G4,-5.351277,Q9Y5G7_Q9Y5G4.pdb
Q8IXH8,Q14574,-3.960224,Q8IXH8_Q14574.pdb
P05067,P35070,123.617811,P05067_P35070.pdb
P13612,P05556,15.436009,P13612_P05556.pdb
Q86SJ6,Q9Y5F1,3.443433,Q86SJ6_Q9Y5F1.pdb
P00533,P31995,-5.018219,P00533_P31995.pdb
P29317,P54756,2.351763,P29317_P54756.pdb
P04626,Q30201,1.3816,P04626_Q30201.pdb
